kennzahl anfragen terms 10
kennzahl anfragen sprachfaelle 10
kennzahl anfragen stichprobe 40
kennzahl plan felder 8
kennzahl probe tiefe 100
kennzahl probe wiederholungen 5
anfrage 1 klasse mehrwort
anfrage 23 rbo10_gegen_altplan dismax_t01 0.9835
anfrage 23 rangverschiebung_gegen_altplan dismax_t01 3.2632
anfrage 24 klasse einwort
anfrage 24 treffer summe 51085
anfrage 24 spitze summe 11920,4281,11368,50080,49208,1782,48834,18773,20071,42078
anfrage 24 latenz_ms summe 38.0723
anfrage 24 treffer dismax_t00 51085
anfrage 24 spitze dismax_t00 11920,4281,11368,50080,49208,1782,48834,18773,20071,42078
anfrage 24 latenz_ms dismax_t00 38.0353
anfrage 24 treffer dismax_t01 51085
anfrage 24 spitze dismax_t01 11920,4281,11368,50080,49208,1782,48834,18773,20071,42078
anfrage 24 latenz_ms dismax_t01 37.7390
anfrage 24 treffer altplan 51085
anfrage 24 spitze altplan 11920,4281,11368,50080,49208,1782,48834,18773,20071,42078
anfrage 24 latenz_ms altplan 36.0709
anfrage 24 overlap10_gegen_altplan summe 1.0000
anfrage 24 rbo10_gegen_altplan summe 1.0000
anfrage 24 rangverschiebung_gegen_altplan summe 4.8878
anfrage 24 overlap10_gegen_altplan dismax_t00 1.0000
anfrage 24 rbo10_gegen_altplan dismax_t00 1.0000
anfrage 24 rangverschiebung_gegen_altplan dismax_t00 5.2581
anfrage 24 overlap10_gegen_altplan dismax_t01 1.0000
anfrage 24 rbo10_gegen_altplan dismax_t01 1.0000
anfrage 24 rangverschiebung_gegen_altplan dismax_t01 1.0909
anfrage 25 klasse einwort
anfrage 25 treffer summe 51129
anfrage 25 spitze summe 4252,29383,29640,1714,35007,5764,3295,3423,30361,29888
anfrage 25 latenz_ms summe 4.9029
anfrage 25 treffer dismax_t00 51129
anfrage 25 spitze dismax_t00 156,159,190,214,265,267,282,316,320,341
anfrage 25 latenz_ms dismax_t00 3.9168
anfrage 25 treffer dismax_t01 51129
anfrage 25 spitze dismax_t01 4252,29383,29640,1714,35007,5764,3295,3423,30361,29888
anfrage 25 latenz_ms dismax_t01 4.8551
anfrage 25 treffer altplan 51129
anfrage 25 spitze altplan 4252,29383,29640,1714,35007,17962,37845,5764,3295,3423
anfrage 25 latenz_ms altplan 4.0269
anfrage 25 overlap10_gegen_altplan summe 0.8000
anfrage 25 rbo10_gegen_altplan summe 0.9166
anfrage 25 rangverschiebung_gegen_altplan summe 2.8866
